DOI,Sample_ID,Subsample_ID,Location,Source,Date,Concentration,Concentration_Units
10.1016/j.scitotenv.2021.150545,A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,260.4,particles/L
10.1016/j.scitotenv.2021.150545,A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,200,particles/L
10.1016/j.scitotenv.2021.150545,A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PE.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,180.1,particles/L
10.1016/j.scitotenv.2021.150545,A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,200.1,particles/L
10.1016/j.scitotenv.2021.150545,A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,90.0,particles/L
10.1016/j.scitotenv.2021.150545,B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,394.1,particles/L
10.1016/j.scitotenv.2021.150545,B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,1092.3,particles/L
10.1016/j.scitotenv.2021.150545,B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,2030,particles/L
10.1016/j.scitotenv.2021.150545,B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,451.3,particles/L
10.1016/j.scitotenv.2021.150545,B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,1042,particles/L
10.1016/j.scitotenv.2021.150545,B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,504.1,particles/L
10.1016/j.scitotenv.2021.150545,B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,300,particles/L
10.1016/j.scitotenv.2021.150545,B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,252,particles/L
10.1016/j.scitotenv.2021.150545,B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,552.4,particles/L
10.1016/j.scitotenv.2021.150545,B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,413.2,particles/L
10.1016/j.scitotenv.2021.150545,B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,230,particles/L
10.1016/j.scitotenv.2021.150545,B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,232,particles/L
10.1016/j.scitotenv.2021.150545,B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,276.4,particles/L
10.1016/j.scitotenv.2021.150545,B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,140,particles/L
10.1016/j.scitotenv.2021.150545,B_Flocc.10.1016/j.scitotenv.2021.150545,B_Flocc_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,161.5,particles/L
10.1016/j.scitotenv.2021.150545,B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,150.3,particles/L
10.1016/j.scitotenv.2021.150545,B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,130.1,particles/L
10.1016/j.scitotenv.2021.150545,B_Sand.10.1016/j.scitotenv.2021.150545,B_Sand_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,55,particles/L
10.1016/j.scitotenv.2021.150545,B_Treated.10.1016/j.scitotenv.2021.150545,B_Treated_PA.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,160,particles/L
10.1016/j.scitotenv.2021.150545,B_Treated.10.1016/j.scitotenv.2021.150545,B_Treated_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.1,particles/L
10.1016/j.scitotenv.2021.150545,B_Treated.10.1016/j.scitotenv.2021.150545,B_Treated_VINYON.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,30,particles/L
10.1016/j.scitotenv.2021.150545,C_BioTreatment.10.1016/j.scitotenv.2021.150545,C_BioTreatment_PET.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.15,particles/L
10.1016/j.scitotenv.2021.150545,C_BioTreatment.10.1016/j.scitotenv.2021.150545,C_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.2,particles/L
10.1016/j.scitotenv.2021.150545,C_BioTreatment.10.1016/j.scitotenv.2021.150545,C_BioTreatment_OTHERS.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.25,particles/L
10.1016/j.scitotenv.2021.150545,C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_PET.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.05,particles/L
10.1016/j.scitotenv.2021.150545,C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.07,particles/L
10.1016/j.scitotenv.2021.150545,C_Sedimentation.10.1016/j.scitotenv.2021.150545,C_Sedimentation_OTHERS.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.26,particles/L
10.1016/j.scitotenv.2021.150545,C_Ozonation.10.1016/j.scitotenv.2021.150545,C_Ozonation_PET.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.0,particles/L
10.1016/j.scitotenv.2021.150545,C_Ozonation.10.1016/j.scitotenv.2021.150545,C_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.14,particles/L
10.1016/j.scitotenv.2021.150545,C_Ozonation.10.1016/j.scitotenv.2021.150545,C_Ozonation_OTHERS.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.19,particles/L
10.1016/j.scitotenv.2021.150545,C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_PET.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.0,particles/L
10.1016/j.scitotenv.2021.150545,C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,2.68,particles/L
10.1016/j.scitotenv.2021.150545,C_BAC.10.1016/j.scitotenv.2021.150545,C_BAC_OTHERS.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.13,particles/L
10.1016/j.scitotenv.2021.150545,C_Flocc.10.1016/j.scitotenv.2021.150545,C_Flocc_PET.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.0,particles/L
10.1016/j.scitotenv.2021.150545,C_Flocc.10.1016/j.scitotenv.2021.150545,C_Flocc_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.1,particles/L
10.1016/j.scitotenv.2021.150545,C_Flocc.10.1016/j.scitotenv.2021.150545,C_Flocc_OTHERS.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.17,particles/L
10.1016/j.scitotenv.2021.150545,C_Sand.10.1016/j.scitotenv.2021.150545,C_Sand_PET.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.0,particles/L
10.1016/j.scitotenv.2021.150545,C_Sand.10.1016/j.scitotenv.2021.150545,C_Sand_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.0,particles/L
10.1016/j.scitotenv.2021.150545,C_Sand.10.1016/j.scitotenv.2021.150545,C_Sand_OTHERS.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.09,particles/L
10.1016/j.scitotenv.2021.150545,C_Treated.10.1016/j.scitotenv.2021.150545,C_Treated_PET.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.0,particles/L
10.1016/j.scitotenv.2021.150545,C_Treated.10.1016/j.scitotenv.2021.150545,C_Treated_VINYL.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.0,particles/L
10.1016/j.scitotenv.2021.150545,C_Treated.10.1016/j.scitotenv.2021.150545,C_Treated_OTHERS.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,0.0,particles/L
10.1371/journal.pone.0236838,Mintenig_10.1371/journal.pone.0236838,N/A,N/A,Groundwater from wells,N/A,0.0007,particles/L
10.1371/journal.pone.0236838,Shruti_10.1371/journal.pone.0236838,N/A,N/A,Tap water,N/A,18,particles/L
10.1371/journal.pone.0236838,Strand_10.1371/journal.pone.0236838,N/A,N/A,Tap water,N/A,0.59,particles/L
10.1371/journal.pone.0236838,Zhang_10.1371/journal.pone.0236838,N/A,N/A,Tap water,N/A,0.7,particles/L
10.1371/journal.pone.0236838,Mason_10.1371/journal.pone.0236838,Mason.1_10.1371/journal.pone.0236838,N/A,Table and mineral water,N/A,315,particles/L
10.1371/journal.pone.0236838,Mason_10.1371/journal.pone.0236838,Mason.2_10.1371/journal.pone.0236838,N/A,Table and mineral water,N/A,10.4,particles/L
10.1371/journal.pone.0236838,Ossmann_10.1371/journal.pone.0236838,N/A,N/A,Mineral water,N/A,3074,particles/L
10.1371/journal.pone.0236838,Weisheu_10.1371/journal.pone.0236838,N/A,N/A,Mineral water,N/A,0.33,particles/L
10.11001/jksww.2020.34.5.357,Czech_Milence_DWTP_10.11001/jksww.2020.34.5.357,N/A,Czech Republic,Drinking water treatment plant,N/A,14,particles/L
10.11001/jksww.2020.34.5.357,Czech_Plzen_DWTP_10.11001/jksww.2020.34.5.357,N/A,Czech Republic,Drinking water treatment plant,N/A,151,particles/L
10.1016/j.scitotenv.2019.02.431,Nethen_10.1016/j.scitotenv.2019.02.431,N/A,"Nethen, Germany",Drinking water treatment plant,N/A,< 1 ,particles/L
10.1016/j.scitotenv.2019.02.431,Holdorf_10.1016/j.scitotenv.2019.02.431,N/A,"Holdorf, Germany",Drinking water treatment plant,N/A,< 1 ,particles/L
10.1016/j.scitotenv.2019.02.431,Aqua_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,382,particles/L
10.1016/j.scitotenv.2019.02.431,Auqafina_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,213,particles/L
10.1016/j.scitotenv.2019.02.431,Bisleri_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,347,particles/L
10.1016/j.scitotenv.2019.02.431,Dasani_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,119,particles/L
10.1016/j.scitotenv.2019.02.431,E-Pura_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,248,particles/L
10.1016/j.scitotenv.2019.02.431,Evian_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,128,particles/L
10.1016/j.scitotenv.2019.02.431,PlasticGerosteiner_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,1411,particles/L
10.1016/j.scitotenv.2019.02.431,GlassGerosteiner_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,168,particles/L
10.1016/j.scitotenv.2019.02.431,Minalba_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,67,particles/L
10.1016/j.scitotenv.2019.02.431,NestlePureLife_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,932,particles/L
10.1016/j.scitotenv.2019.02.431,SanPellegrino_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,29,particles/L
10.1016/j.scitotenv.2019.02.431,Wahaha_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,96,particles/L
10.1016/j.scitotenv.2019.02.431,SingleUsePET_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,2649,particles/L
10.1016/j.scitotenv.2019.02.431,ResuablePET_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,4889,particles/L
10.1016/j.scitotenv.2019.02.431,GlassBottles_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,6298,particles/L
10.1016/j.scitotenv.2019.02.431,SingleUsePlastic_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,15,particles/L
10.1016/j.scitotenv.2019.02.431,ReturnablePlastic_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,117,particles/L
10.1016/j.scitotenv.2019.02.431,GlassBottles2_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,56,particles/L
10.1016/j.scitotenv.2019.02.431,BeverageCartons_10.1016/j.scitotenv.2019.02.431,N/A,N/A,Bottled water,N/A,11,particles/L
10.1016/j.watres.2019.02.054,AverageAll_10.1016/j.watres.2019.02.054,N/A,N/A,Drinking water treatment plant; bottled water; ground water; tap water,N/A,N/A,N/A
10.1016/j.cej.2020.128381,France_10.1016/j.cej.2020.128381,N/A,France,Drinking water treatment plant,N/A,32,particles/L
10.1016/j.cej.2020.128381,Finland_10.1016/j.cej.2020.128381,Finland.1_10.1016/j.cej.2020.128381,Finland,Drinking water treatment plant,N/A,1,particles/L
10.1016/j.cej.2020.128381,Finland_10.1016/j.cej.2020.128381,Finland.2_10.1016/j.cej.2020.128381,Finland,Drinking water treatment plant,N/A,0.4,particles/L
10.1016/j.cej.2020.128381,China_10.1016/j.cej.2020.128381,China.1_10.1016/j.cej.2020.128381,China,Drinking water treatment plant,N/A,0.14,particles/L
10.1016/j.cej.2020.128381,China_10.1016/j.cej.2020.128381,China.2_10.1016/j.cej.2020.128381,China,Drinking water treatment plant,N/A,0.06,particles/L
10.1016/j.cej.2020.128381,Korea_10.1016/j.cej.2020.128381,Korea.1_10.1016/j.cej.2020.128381,Korea,Drinking water treatment plant,N/A,0.4,particles/L
10.1016/j.cej.2020.128381,Korea_10.1016/j.cej.2020.128381,Korea.2_10.1016/j.cej.2020.128381,Korea,Drinking water treatment plant,N/A,0.1,particles/L
10.1016/j.cej.2020.128381,Korea_10.1016/j.cej.2020.128381,Korea.3_10.1016/j.cej.2020.128381,Korea,Drinking water treatment plant,N/A,0.3,particles/L
10.1016/j.cej.2020.128381,Scotland_10.1016/j.cej.2020.128381,N/A,Scotland,Drinking water treatment plant,N/A,1-3,particles/L
10.1016/j.cej.2020.128381,Finland2_10.1016/j.cej.2020.128381,N/A,Finland,Drinking water treatment plant,N/A,2.5,particles/L
10.1016/j.cej.2020.128381,HongKong_10.1016/j.cej.2020.128381,HongKong.1_10.1016/j.cej.2020.128381,Hong Kong,Drinking water treatment plant,N/A,0.4,particles/L
10.1016/j.cej.2020.128381,HongKong_10.1016/j.cej.2020.128381,HongKong.2_10.1016/j.cej.2020.128381,Hong Kong,Drinking water treatment plant,N/A,0.27,particles/L
10.1016/j.cej.2020.128381,UnitedStates_10.1016/j.cej.2020.128381,United States.1_10.1016/j.cej.2020.128381,United States,Drinking water treatment plant,N/A,0.0008,particles/L
10.1016/j.cej.2020.128381,UnitedStates_10.1016/j.cej.2020.128381,United States.2_10.1016/j.cej.2020.128381,United States,Drinking water treatment plant,N/A,0.00000243,particles/L
10.1016/j.cej.2020.128381,Germany_10.1016/j.cej.2020.128381,N/A,Germany,Drinking water treatment plant,N/A,0.08-7.52 ,particles/L
10.1016/j.cej.2020.128381,Denmark_10.1016/j.cej.2020.128381,N/A,Denmark,Drinking water treatment plant,N/A,19-447 ,particles/L
10.1016/j.cej.2020.128381,China2_10.1016/j.cej.2020.128381,N/A,China,Drinking water treatment plant,N/A,0.004-0.195 ,particles/L
10.1016/j.cej.2020.128381,UnitedStates2_10.1016/j.cej.2020.128381,UnitedStates2.1_10.1016/j.cej.2020.128381,United States,Drinking water treatment plant,N/A,0.009,particles/L
10.1016/j.cej.2020.128381,UnitedStates2_10.1016/j.cej.2020.128381,UnitedStates2.2_10.1016/j.cej.2020.128381,United States,Drinking water treatment plant,N/A,0.019,particles/L
10.1016/j.cej.2020.128381,UnitedStates2_10.1016/j.cej.2020.128381,UnitedStates2.3_10.1016/j.cej.2020.128381,United States,Drinking water treatment plant,N/A,0.047,particles/L
10.1016/j.cej.2020.128381,UnitedStates2_10.1016/j.cej.2020.128381,UnitedStates2.4_10.1016/j.cej.2020.128381,United States,Drinking water treatment plant,N/A,0.064,particles/L
10.1016/j.cej.2020.128381,UnitedStates2_10.1016/j.cej.2020.128381,UnitedStates2.5_10.1016/j.cej.2020.128381,United States,Drinking water treatment plant,N/A,0.092,particles/L
10.1016/j.cej.2020.128381,UnitedStates2_10.1016/j.cej.2020.128381,UnitedStates2.6_10.1016/j.cej.2020.128381,United States,Drinking water treatment plant,N/A,0.127,particles/L
10.1016/j.jece.2020.104527,RiverBulkSampling_10.1016/j.jece.2020.104527,N/A,N/A,N/A,N/A,3,particles/m3
10.1016/j.jece.2020.104527,LakeAndReservoir_10.1016/j.jece.2020.104527,N/A,N/A,N/A,N/A,3.25,particles/m3
10.1016/j.jece.2020.104527,RiverNet_10.1016/j.jece.2020.104527,N/A,N/A,N/A,N/A,0,particles/m3
10.1016/j.jece.2020.104527,LakeAndReservoirNet_10.1016/j.jece.2020.104527,N/A,N/A,N/A,N/A,0,particles/m3
10.1016/j.jece.2020.104527,RiverNet_10.1016/j.jece.2020.104527,N/A,N/A,N/A,N/A,0,particles/m3
10.1016/j.jece.2020.104527,LakeAndReservoirNet2_10.1016/j.jece.2020.104527,N/A,N/A,N/A,N/A,0,particles/m3
10.1016/j.chemosphere.2020.126612,1_10.1016/j.chemosphere.2020.126612,N/A,"Danube River, Austria",Drinking water source,N/A,< 1 ,particles/L
10.1016/j.chemosphere.2020.126612,2_10.1016/j.chemosphere.2020.126612,N/A,"River Seine, France",Drinking water source,N/A,0.3-0.5 ,particles/L
10.1016/j.chemosphere.2020.126612,3_10.1016/j.chemosphere.2020.126612,N/A,"River Seine, France",Drinking water source,N/A,3-106 ,particles/L
10.1016/j.chemosphere.2020.126612,4_10.1016/j.chemosphere.2020.126612,N/A,"Amsterdam Canal Water, Netherlands",Drinking water source,N/A,48-147 ,particles/L
10.1016/j.chemosphere.2020.126612,6_10.1016/j.chemosphere.2020.126612,N/A,"29 Great Lakes, USA",Drinking water source,N/A,< 1 ,particles/L
10.1016/j.chemosphere.2020.126612,7_10.1016/j.chemosphere.2020.126612,N/A,"Surface Water, Hungary",Drinking water source,N/A,< 1 ,particles/L
10.1016/j.chemosphere.2020.126612,8_10.1016/j.chemosphere.2020.126612,N/A,"Surface Water, Czech Republic",Drinking water source,N/A,3123-4464 ,particles/L
10.1016/j.chemosphere.2020.126612,9_10.1016/j.chemosphere.2020.126612,N/A,"Three Gorges Reservoir, China",Drinking water source,N/A,1.6-12.6 ,particles/L
10.1016/j.chemosphere.2020.126612,10_10.1016/j.chemosphere.2020.126612,N/A,"Dongting Lake, China",Drinking water source,N/A,< 1-2.8 ,particles/L
10.1016/j.chemosphere.2020.126612,11_10.1016/j.chemosphere.2020.126612,N/A,"Taihi Lake, China",Drinking water source,N/A,3.4-25.8 ,particles/L
10.1016/j.chemosphere.2020.126612,12_10.1016/j.chemosphere.2020.126612,N/A,"Poyang Lake, China",Drinking water source,N/A,5-34,particles/L
10.1016/j.chemosphere.2020.126612,13_10.1016/j.chemosphere.2020.126612,N/A,"Yangtze River, China",Drinking water source,N/A,0.5-3.1 ,particles/L
10.1016/j.chemosphere.2020.126612,14_10.1016/j.chemosphere.2020.126612,N/A,"Suzhou and Huangpu River, China",Drinking water source,N/A,1.8-2.4 ,particles/L
10.1016/j.chemosphere.2020.126612,15_10.1016/j.chemosphere.2020.126612,N/A,"Hong Lake, China",Drinking water source,N/A,1.3-4.7 ,particles/L
10.1016/j.chemosphere.2020.126612,16_10.1016/j.chemosphere.2020.126612,N/A,"Urban lakes, Hanjiang and Wuhan rivers, China",Drinking water source,N/A,1.7-8.9 ,particles/L
10.1016/j.impact.2021.100302,MineralWater_SingleUsePET_10.1016/j.impact.2021.100302,N/A,N/A,Bottled water,N/A,2649,particles/L
10.1016/j.impact.2021.100302,MineralWater_ReusablePET_10.1016/j.impact.2021.100302,N/A,N/A,Bottled water,N/A,4889,particles/L
10.1016/j.impact.2021.100302,MineralWater_Glass_10.1016/j.impact.2021.100302,N/A,N/A,Bottled water,N/A,6292,particles/L
10.1016/j.impact.2021.100302,RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.1_10.1016/j.impact.2021.100302,N/A,Drinking water treatment plant,N/A,1473,particles/L
10.1016/j.impact.2021.100302,RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.2_10.1016/j.impact.2021.100302,N/A,Drinking water treatment plant,N/A,1812,particles/L
10.1016/j.impact.2021.100302,RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.3_10.1016/j.impact.2021.100302,N/A,Drinking water treatment plant,N/A,3605,particles/L
10.1016/j.impact.2021.100302,TapWater_10.1016/j.impact.2021.100302,N/A,N/A,Tap water,N/A,440,particles/L
10.1016/j.impact.2021.100302,RawWater_10.1016/j.impact.2021.100302,N/A,N/A,Drinking water treatment plant,N/A,6614,particles/L
10.1016/j.impact.2021.100302,TreatedDrinkingWater2_10.1016/j.impact.2021.100302,N/A,N/A,Drinking water treatment plant,N/A,930,particles/L
10.1016/j.impact.2021.100302,MineralWaterPET_10.1016/j.impact.2021.100302,N/A,N/A,Bottled water,N/A,32000000-110000000 ,particles/L
10.1007/s11783-021-1492-5,Mintenig_10.1007/s11783-021-1492-5,N/A,Germany,Drinking water treatment plant,N/A,0-0.7,particles/m3
10.1007/s11783-021-1492-5,Sarkar_10.1007/s11783-021-1492-5,N/A,"Ganga River, India",Drinking water treatment plant,N/A,2.75,particles/L
10.1007/s11783-021-1492-5,Johnson_10.1007/s11783-021-1492-5,N/A,UK,Drinking water treatment plant,N/A,0-0.0028,particles/L
10.1007/s11783-021-1492-5,Dalmau-Soler_10.1007/s11783-021-1492-5,N/A,Spain,Drinking water treatment plant,N/A,0.07,particles/L
10.1016/j.envres.2022.112855,AverageAll_10.1016/j.envres.2022.112855,N/A,China,Groundwater drinking water,N/A,29,particles/L
10.1021/acs.est.9b01517,Bottled_Water_10.1021/acs.est.9b01517,N/A,N/A,Bottled water,N/A,94.37,particles/L
10.1021/acs.est.9b01517,Tap_Water_10.1021/acs.est.9b01517,N/A,N/A,Tap water,N/A,4.23,particles/L
10.1016/j.envpol.2021.117524,PE_10.1016/j.envpol.2021.117524,N/A,Warnow river,Drinking water treatment plant,N/A,117,particles/m3
10.1016/j.envpol.2021.117524,PP_10.1016/j.envpol.2021.117524,N/A,Warnow river,Drinking water treatment plant,N/A,34,particles/m3
