SampleID,SubsampleID,Size,Percentage
1.10.1016/j.watres.2017.11.011,N/A,>100 um,2%
1.10.1016/j.watres.2017.11.011,N/A,50-100 um,5%
1.10.1016/j.watres.2017.11.011,N/A,20-50 um,22%
1.10.1016/j.watres.2017.11.011,N/A,10-20 um,30%
1.10.1016/j.watres.2017.11.011,N/A,5-10 um,41%
2.10.1016/j.watres.2017.11.011,N/A,>100 um,1%
2.10.1016/j.watres.2017.11.011,N/A,50-100 um,2%
2.10.1016/j.watres.2017.11.011,N/A,20-50 um,12%
2.10.1016/j.watres.2017.11.011,N/A,10-20 um,29%
2.10.1016/j.watres.2017.11.011,N/A,5-10 um,56%
3.10.1016/j.watres.2017.11.011,N/A,>100 um,3%
3.10.1016/j.watres.2017.11.011,N/A,50-100 um,7%
3.10.1016/j.watres.2017.11.011,N/A,20-50 um,14%
3.10.1016/j.watres.2017.11.011,N/A,10-20 um,32%
3.10.1016/j.watres.2017.11.011,N/A,5-10 um,45%
4.10.1016/j.watres.2017.11.011,N/A,>100 um,7%
4.10.1016/j.watres.2017.11.011,N/A,50-100 um,10%
4.10.1016/j.watres.2017.11.011,N/A,20-50 um,16%
4.10.1016/j.watres.2017.11.011,N/A,10-20 um,28%
4.10.1016/j.watres.2017.11.011,N/A,5-10 um,39%
1.10.1039/c6ay01184e,N/A,1-5 mm,N/A
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,1-5 um,25-60%
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,5-10 um,30-50%
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,10-50 um,remaining percent
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,1-5 um,25-60%
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,5-10 um,30-50%
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,10-50 um,remaining percent
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,1-5 um,25-60%
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,5-10 um,30-50%
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,10-50 um,remaining percent
settled_10.1016/j.chemosphere.2021.132587,N/A,10-45 um,N/A
settled_10.1016/j.chemosphere.2021.132587,N/A,45-125 um,N/A
settled_10.1016/j.chemosphere.2021.132587,N/A,125-300 um,N/A
settled_10.1016/j.chemosphere.2021.132587,N/A,300-500 um,N/A
settled_10.1016/j.chemosphere.2021.132587,N/A,>500 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,10-45 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,45-125 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,125-300 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,300-500 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,>500 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,10-45 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,45-125 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,125-300 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,300-500 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,>500 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,10-45 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,45-125 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,125-300 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,300-500 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,>500 um,N/A
V.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
BJP.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
BJH.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
BOP.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
BOH.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
1.10.1007/s11270-022-05649-y,N/A,50 um,N/A
1.10.1007/s11270-022-05649-y,N/A,500 um,N/A
1.10.1007/s11270-022-05649-y,N/A,3000 um,N/A
1.10.1016/j.scitotenv.2021.152623,N/A,110-124 nm,N/A
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE.10.1016/j.scitotenv.2021.150545,5-10 um,410 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE.10.1016/j.scitotenv.2021.150545,10-20 um,200 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,5-10 um,510 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,10-20 um,520 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,100-500 um,0.6 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,20-100 um,12 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PVC.10.1016/j.scitotenv.2021.150545,10-20 um,150 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PVC.10.1016/j.scitotenv.2021.150545,5-10 um,410 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PE.10.1016/j.scitotenv.2021.150545,20-100 um,6 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PE.10.1016/j.scitotenv.2021.150545,10-20 um,280 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PE.10.1016/j.scitotenv.2021.150545,5-10 um,900 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PP.10.1016/j.scitotenv.2021.150545,20-100 um,9 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PP.10.1016/j.scitotenv.2021.150545,10-20 um,380 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PP.10.1016/j.scitotenv.2021.150545,5-10 um,1100 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PVC.10.1016/j.scitotenv.2021.150545,20-100 um,0.4 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PVC.10.1016/j.scitotenv.2021.150545,10-20 um,70 particles
A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PVC.10.1016/j.scitotenv.2021.150545,5-10 um,30 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PE.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.2 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PE.10.1016/j.scitotenv.2021.150545,100-500 um,0.2 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PE.10.1016/j.scitotenv.2021.150545,20-100 um,2.8 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PE.10.1016/j.scitotenv.2021.150545,5-10 um,250 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PE.10.1016/j.scitotenv.2021.150545,10-20 um,100 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PP.10.1016/j.scitotenv.2021.150545,20-100 um,1 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PP.10.1016/j.scitotenv.2021.150545,100-500 um,0.2 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PP.10.1016/j.scitotenv.2021.150545,10-20 um,620 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PP.10.1016/j.scitotenv.2021.150545,5-10 um,1100 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PVC.10.1016/j.scitotenv.2021.150545,5-10 um,200 particles
A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PVC.10.1016/j.scitotenv.2021.150545,10-20 um,450 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PE.10.1016/j.scitotenv.2021.150545,20-100um,1.1 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PE.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PE.10.1016/j.scitotenv.2021.150545,10-20 um,120 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PE.10.1016/j.scitotenv.2021.150545,5-10 um,150 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PP.10.1016/j.scitotenv.2021.150545,20-100 um,0.4 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PP.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PP.10.1016/j.scitotenv.2021.150545,10-20 um,80 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PP.10.1016/j.scitotenv.2021.150545,5-10 um,120 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PVC.10.1016/j.scitotenv.2021.150545,20-100 um,0.4 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PVC.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PVC.10.1016/j.scitotenv.2021.150545,10-20 um,80 particles
A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PVC.10.1016/j.scitotenv.2021.150545,5-10 um,120 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PE.10.1016/j.scitotenv.2021.150545,20-100 um,12 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PE.10.1016/j.scitotenv.2021.150545,100-500 um,0.2 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PE.10.1016/j.scitotenv.2021.150545,5-10 um,50 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PE.10.1016/j.scitotenv.2021.150545,10-20 um,0.5 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PP.10.1016/j.scitotenv.2021.150545,20-100 um,9 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PP.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PP.10.1016/j.scitotenv.2021.150545,5-10 um,470 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PP.10.1016/j.scitotenv.2021.150545,10-20 um,295 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PVC.10.1016/j.scitotenv.2021.150545,20-100 um,0.7 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PVC.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PVC.10.1016/j.scitotenv.2021.150545,10-20 um,50 particles
A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PVC.10.1016/j.scitotenv.2021.150545,5-10 um,150 particles
A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PE.10.1016/j.scitotenv.2021.150545,20-100 um,0.6 particles
A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PE.10.1016/j.scitotenv.2021.150545,10-20 um,100 particles
A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PE.10.1016/j.scitotenv.2021.150545,5-10 um,180 particles
A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PP.10.1016/j.scitotenv.2021.150545,20-100 um,0.4 particles
A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PP.10.1016/j.scitotenv.2021.150545,10-20 um,70 particles
A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PP.10.1016/j.scitotenv.2021.150545,5-10 um,190 particles
A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PVC.10.1016/j.scitotenv.2021.150545,10-20 um,80 particles
A_Sand.10.1016/j.scitotenv.2021.150545,A_Sand_PVC.10.1016/j.scitotenv.2021.150545,5-10 um,120 particles
A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PE.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PE.10.1016/j.scitotenv.2021.150545,10-20 um,110 particles
A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PE.10.1016/j.scitotenv.2021.150545,5-10 um,70 particles
A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PP.10.1016/j.scitotenv.2021.150545,20-100 um,0.1 particles
A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PP.10.1016/j.scitotenv.2021.150545,10-20 um,100 particles
A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PP.10.1016/j.scitotenv.2021.150545,5-10 um,100 particles
A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PVC.10.1016/j.scitotenv.2021.150545,10-20 um,40 particles
A_Treated.10.1016/j.scitotenv.2021.150545,A_Treated_PVC.10.1016/j.scitotenv.2021.150545,5-10 um,50 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA.10.1016/j.scitotenv.2021.150545,20-100 um,3.6 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA.10.1016/j.scitotenv.2021.150545,100-500 um,0.5 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA.10.1016/j.scitotenv.2021.150545,10-20 um,95 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA.10.1016/j.scitotenv.2021.150545,5-10 um,295 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,100-500 um,0.3 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,20-100 um,2 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,10-20 um,710 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL.10.1016/j.scitotenv.2021.150545,5-10 um,380 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYON.10.1016/j.scitotenv.2021.150545,5-10 um,1350 particles
B_BioTreatment.10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYON.10.1016/j.scitotenv.2021.150545,10-20 um,680 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA.10.1016/j.scitotenv.2021.150545,20-100 um,1.2 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA.10.1016/j.scitotenv.2021.150545,5-10 um,400 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_PA.10.1016/j.scitotenv.2021.150545,10-20 um,50 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,20-100 um,12 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,10-20 um,280 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYL.10.1016/j.scitotenv.2021.150545,5-10 um,750 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON.10.1016/j.scitotenv.2021.150545,20-100 um,4 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON.10.1016/j.scitotenv.2021.150545,10-20 um,100 particles
B_Sedimentation.10.1016/j.scitotenv.2021.150545,B_Sedimentation_VINYON.10.1016/j.scitotenv.2021.150545,5-10 um,400 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_PA.10.1016/j.scitotenv.2021.150545,10-20 um,100 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_PA.10.1016/j.scitotenv.2021.150545,5-10 um,200 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.1 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,20-100 um,1.7 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,10-20 um,100 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYL.10.1016/j.scitotenv.2021.150545,5-10 um,150 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYON.10.1016/j.scitotenv.2021.150545,100-500 um,0.2 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYON.10.1016/j.scitotenv.2021.150545,20-100 um,2.2 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYON.10.1016/j.scitotenv.2021.150545,10-20 um,150 particles
B_Ozonation.10.1016/j.scitotenv.2021.150545,B_Ozonation_VINYON.10.1016/j.scitotenv.2021.150545,5-10 um,400 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_PA.10.1016/j.scitotenv.2021.150545,100-500 um,0.2 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_PA.10.1016/j.scitotenv.2021.150545,20-100 um,2.9 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_PA.10.1016/j.scitotenv.2021.150545,10-20 um,210 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_PA.10.1016/j.scitotenv.2021.150545,5-10 um,200 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYL.10.1016/j.scitotenv.2021.150545,10-20 um,80 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYL.10.1016/j.scitotenv.2021.150545,5-10 um,150 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,20-100 um,1.9 particles
B_BAC.10.1016/j.scitotenv.2021.150545,B_BAC_VINYON.10.1016/j.scitotenv.2021.150545,100-500 um,0.1 particles
