,Timestamp,id,Researcher Name,Affiliation,Citation,Instrument name,Analysis Date,Polymer-type of particle,Magnification,Color of particle,Morphology of particle,Size of particle,Size dimension
1,NA,1eLFTJxZTx1ud-G3FTldc0kCw2v0L-1fe,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",NA,2022,Polyethylene,7-10x,Yellow,Bead,<500 um,Nominal
2,NA,1GlGA0vDgMSJjyaoqYYbX2qPrNsU6XWIb,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K2,2022,Polyethylene,7-10x,Blue,Fragment,50-250 um,Nominal
3,NA,1Fvay4vjN3_gxXqKjpUVGtaZn5-dwgS_T,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K3,2022,Polyethylene,7-10x,Purple,Fragment,50-250 um,Nominal
4,NA,1dNwJCGaTl_2IfdEUpxHm27qewU-JE7Ae,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K4,2022,polystyrene,7-10x,White,Fragment,50-250 um,Nominal
5,NA,1B6ovQ5VmmzvsEf72607TMT3waxx8FQ2F,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K5,2022,Polyethylene,7-10x,White,Fragment,50-250 um,Nominal
6,NA,1WMMV-dbxlEX5d0769rBAGXNIf3qiEwdD,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K6,2022,Polyethylene,7-10x,Blue,Fragment,50-250 um,Nominal
7,NA,1ZfFlRqhceONSZ2qAFlW6hLyw2ai0useH,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K7,2022,Polyethylene,7-10x,White,Fragment,50-250 um,Nominal
8,NA,1C15busrE6syuiz0SDwIL9N9l8gRao_GD,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K8,2022,Polyethylene,7-10x,Red,Fragment,50-250 um,Nominal
9,NA,1ERkfnpNtN9ljf0LJ2rZqcA8wVPkcjAgx,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K9,2022,Polyethylene,7-10x,White,Fragment,<500 um,Nominal
10,NA,1gqU9G8mjmPRIK9H343coBdLwmiHdWQne,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K10,2022,Polyethylene,7-10x,Blue,Fragment,50-250 um,Nominal
11,NA,1j61Vpl2K2cxzwra7Uco5FuVYAqbNW5_7,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K11,2022,Polyethylene,7-10x,White,Fragment,50-250 um,Nominal
12,NA,194lQ4Obj5Hb-jVeZ4i3u2NT_aON5IkF4,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K12,2022,Polyethylene,7-10x,White,Fragment,50-250 um,Nominal
13,NA,16hGMFGJFeMAEaJ4nNQtLZLdmiA84ZdDB,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K13,2022,Nylon,7-10x,Green,Fragment,50-250 um,Nominal
14,NA,11Jxlwv3KogAsn7xW9kOv65vmA7Bw9TER,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K14,2022,Polyethylene,7-10x,Yellow,Fragment,50-250 um,Nominal
15,NA,1yTZkFqjiFr6aLLFEWf59owLvKT--34n-,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K15,2022,Polyethylene,7-10x,Green,Fragment,50-250 um,Nominal
16,NA,1PGleHdfmzg0oDsoQcUHeG8zJ0LYWKgCj,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K16,2022,Polyethylene,7-10x,White,Fragment,50-250 um,Nominal
17,NA,1B8rBk_5mOPhNReZLToAD3pkiMgwwMhJo,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K17,2022,Polyethylene,7-10x,Red,Fragment,50-250 um,Nominal
18,NA,1lSdmgPQ97zcHMEBtiUClj--ISLZyQkzh,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K18,2022,Polyethylene,7-10x,Blue,Fragment,50-250 um,Nominal
19,NA,1pGlsup6PTOe_OzrMRgDM2LfM_EykjRn0,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K19,2022,Polyethylene,7-10x,Blue,Fragment/fibre,<500 um,Nominal
20,NA,1Kw1pwk6sF_291Z3K9lHcovGTah21OZIs,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K20,2022,Polyethylene,7-10x,Red,Fragment,50-250 um,Nominal
21,NA,1emdw_N1L7H2JEdpHDC9TYee_HOe1azcL,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K21,2022,Polyethylene,7-10x,Green,Fragment,50-250 um,Nominal
22,NA,1ZfccZGEjHTtieyEjs5Bl4Yt9Yd8SCOK-,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K22,2022,Polyethylene,7-10x,Blue,Fragment,50-250 um,Nominal
23,NA,1F1gmxwNrM-zqIDRFIDdz0aWTnqVCTaIo,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K23,2022,Polypropylene,7-10x,White,Nurdle,>1 mm,Nominal
24,NA,1z5MkAl1bLJo5Y2e3agIra9Tn3KZ1lKUp,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K24,2022,Polyethylene,7-10x,White,Nurdle,>1 mm,Nominal
25,NA,11uWbO8hDC7EPRkUjo6xc4CJ_Gy0e8ZtE,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K25,2022,Polypropylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
26,NA,18PhPh8kv1WKNiSxNXDCeGUxYUO6EYeEY,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K26,2022,polystyrene,7-10x,White,Nurdle,>1 mm,Nominal
27,NA,116NXMEVJD9IBPN6F2mNxdYLhZ3u41Sgr,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K27,2022,Polypropylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
28,NA,1fF_3wDk5u_l3HADeEESs_c8Ow3NXTdCn,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K28,2022,polystyrene,7-10x,Black,Nurdle,>1 mm,Nominal
29,NA,1XMJ4UqwSWVec7JvOTo-fVtaEwf0baibS,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K29,2022,Polyethylene,7-10x,White,Nurdle,>1 mm,Nominal
30,NA,1CNdcHNZgdWon2rUp4DRDkJjMgD11G5gs,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K30,2022,Polyethylene,7-10x,White,Nurdle,>1 mm,Nominal
31,NA,1X5Ttzi-yZ0iLKzWlqojaP9OwFjZ2NHgS,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K31,2022,Polyethylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
32,NA,1ynj_m2U7dsbvsaTcpLDpdKOGqFvb60Eu,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K32,2022,polystyrene,7-10x,Yellow,Nurdle,>1 mm,Nominal
33,NA,1eO6c_5PDu9BglqsaxzAlHiMKtOKeht0n,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K33,2022,Polyethylene,7-10x,Light Yellow,Nurdle,>1 mm,Nominal
34,NA,1ToesWWO2EQWexybgJgTpghXAbvdWpcVM,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K34,2022,polystyrene,7-10x,Yellow,Nurdle,>1 mm,Nominal
35,NA,17PHrc_bXPz73T_vPGfdpRITe2QGjn42g,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K35,2022,Polyethylene,7-10x,White,Nurdle,>1 mm,Nominal
36,NA,1AnJPMAAk6OiOmbM8Z1GF1niXRNN9Y0_P,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K36,2022,Polysytrene,7-10x,White,Nurdle,>1 mm,Nominal
37,NA,1BTDF6A0pzGRZO9khhE2SmtkEIDd757f-,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K37,2022,polystyrene,7-10x,Yellow,Nurdle,>1 mm,Nominal
38,NA,1RIPHlSO5FjnCel4buhY8nQFjtGtmBX7j,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K38,2022,Polyethylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
39,NA,1dSSM16ctHobgPSbNJgiyLFZJSC3eeKup,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K39,2022,Polyethylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
40,NA,1_FEoXx2K07bH2X596zS1heSMKczwO0AE,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K40,2022,Polyethylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
41,NA,1mC-8i7hnSBYRwobojgdwzlXVh2-qKjqf,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K41,2022,Polyethylene,7-10x,White,Nurdle,>1 mm,Nominal
42,NA,1KkCSKS0kiQVuyjXvJXoHelNi-cRrWTLS,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K42,2022,Polypropylene,7-10x,White,Nurdle,>1 mm,Nominal
43,NA,1T2_tBcAiUHzfai-6kIqmDMq3dh6TvZwQ,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K43,2022,polystyrene,7-10x,White,Nurdle,>1 mm,Nominal
44,NA,1SuI0Ercv8KzJrEdYerB6yclwG0VeuwH5,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K44,2022,polystyrene,7-10x,White,Nurdle,>1 mm,Nominal
45,NA,1EYfH9KSV5CkcpSEBHasT2KF9I5htPSz5,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K45,2022,Polyethylene,7-10x,White,Nurdle,>1 mm,Nominal
46,NA,1HC0qmVqEXebYl4oE8kDOecMaiHfKLeEF,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K46,2022,Polyethylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
47,NA,1gjZgcxUjf5XB1xNu80Ohem627usQNyjH,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K47,2022,polystyrene,7-10x,Yellow,Nurdle,>1 mm,Nominal
48,NA,12Yhm5eq8QdWsU8g0gn-KPveJzzwErceG,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K48,2022,polystyrene,7-10x,White,Nurdle,>1 mm,Nominal
49,NA,1RZ-4kYQAgLdAIIqZwzX5yDQ0XQooLIOq,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K49,2022,Polyethylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
50,NA,1hl69_GguOFezQ1iDYK9PgpEKYyDt4ZZz,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K50,2022,Polyethylene,7-10x,White,Nurdle,>1 mm,Nominal
51,NA,1ysz58MFLniEgepd5wkLk6B9SmKLvVA4v,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K51,2022,Polyethylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
52,NA,1np_N7bvPUwxlDREP2rEIDf0Xrgw_vc7i,Fadare and Conkle,Texas A&M University-Corpus Christi,"Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",MEIJI TECHNO EMZ-8TR with OptixCAM summit K52,2022,Polyethylene,7-10x,Yellow,Nurdle,>1 mm,Nominal
